EventType,Corresponding Frame(s),FrameNetDefinitions,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity
Getting,"Getting, Post getting","[Getting] A Recipient starts off without the Theme in their possession, and then comes to possess it.  Although the Source from which the Theme came is logically necessary, the Recipient and its changing relationship to the Theme is profiled.  'I got two whistles from John.'
[Post_getting] The stage after which the Recipient has acquired the Theme. ","An event where a Recipient, initially without a Theme, acquires possession of it, emphasizing the change in ownership or control over the Theme.",anti-cumulative,homeomeric,atomic,agentive
Having or lacking access,Having or lacking access,[Having_or_lacking_access] A Theme has access to a Useful_location or is blocked from it by a Barrier. '' 'Making services accessible to those with special needs is expensive.' 'I don't have access to the safe.' 'The regime has now restricted access to the internet. ',"A theme either has or is denied the ability to reach or use a valuable location, resource, or service.",cumulative,homeomeric,durative,non-agentive
Hiding objects,Hiding objects,"[Hiding_objects] An Agent causes a Hidden_object to become perceptually inaccessible to potential perceivers by placing it in a Hiding_place or putting in place an Obstruction that screens the object.  'Therefore, as I passed the school, I hid the gun and holster in the mailbox'  'Gruenwald hid the money at a local garbage dump then retrieved it the following morning.'  'In later books Harry often tries to hide his scar with his hair. '",An event where an Agent makes an Object perceptually inaccessible to others by placing it in a location or covering it with an Obstruction.,anti-cumulative,anti-homeomeric,durative,agentive
Hindering,Hindering,"[Hindering] In this frame a Hindrance makes it more difficult for a Protagonist to complete their intended Action or a Hindrance directly affects an Action where the Action can be a natural act or the actions of many individuals in a collective endeavor.  Crucially, these lexical units do not entail that the Protagonist was unable to complete the Action or that the Action did not occur. The Hindrance may indicate a lack of enablement or an obstacle on the natural progression of the Protagonist or Action   ' Malcolm was hindered by his drinking problem . '  ' A lack of money hampered our plans . ' ' Many candidates' progress is severely impeded because they have to resit for the exam. '  ' The new dam impeded the flow of water . '","An event where a Hindrance obstructs, delays, or makes it more difficult for a Protagonist or Action to proceed or be completed, without necessarily preventing it entirely.",anti-cumulative,anti-homeomeric,durative,non-agentive
Change event time,"Holding off on, Change event time, Change event duration","[Holding_off_on] An Agent decides temporarily not to perform a Desirable_action or not to interact with a Salient_entity.  'I have actually held off on buying some movies by WB because of those damned cases.'  'We held off on reporting this because, by all accounts, the young Oscar-nominee has NOT been offered the role.'  'This meant waiting with dinner until late. CNI'  'I waited with going to him and in retrospect think that that was a mistake.'
[Change_event_time] In this frame, an Agent or Cause changes the timing of an Event. The Event will then take place at the Destination_time or with respect to a Destination_event. This can be done with by certain Means, in a certain Manner or to a certain Degree.  'The rain delayed the baseball game.'
[Change_event_duration] In this frame, an Agent or Cause changes the duration of an Event. The Event will then take place for a New_duration, rather than the Initial_duration. This can be done with by certain Means, in a certain Manner or to a certain Degree.  'Don't let him prolong the discussion to an absurd length.'  'Harsh weather made it necessary to cut the tour short from its original four months to three. CNI'","An event where an Agent or Cause intentionally delays, reschedules, or alters the timing or duration of another Event, affecting when or how long it occurs.",anti-cumulative,homeomeric,atomic,agentive
Hostile encounter,Hostile encounter,"[Hostile_encounter] This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. '' 'He still wants to fight Mike Tyson in about 8 months.'  'Dennis Andries's European cruiserweight title clash against Akim Tafer of France in Beausoleil last February has been voted as the EBU's fight of the year.'",An event where two opposing sides engage in a conflict or confrontation over a disputed issue or to achieve a specific purpose.,anti-cumulative,anti-homeomeric,durative,agentive
Imposing obligation,Imposing obligation,"[Imposing_obligation] A Duty is imposed on a Responsible_party according to a Principle which regulates how the Responsible_party should respond to a Situation.  The Situation may be expressed metonymically by reference to an Obligator, whose action invokes the Principle.  It is only rarely the case that the Principle and the Situation/Obligator are both expressed overtly.  'They escaped total Soviet invasion and occupation only by entering into a separate agreement that obligated them to military action against the retreating German armies.'  'The lease agreements bound them to make rent payments to Homeowners Rescue.'  'It was also discovered that with out her knowledge, he had committed her to a new TV series and he had already taken an advance on the money.'   'The Generality's invitation to give a conference on the theme obligated me to study GaudÃ­'s work even more.'","A situation where a duty or responsibility is placed on a party based on a principle, requiring them to act or respond in a particular way.",anti-cumulative,homeomeric,atomic,agentive
Ingestion,"Ingestion, Ingest substance","[Ingestion] An Ingestor consumes food or drink (Ingestibles), which entails putting the Ingestibles in the mouth for delivery to the digestive system.  This may include the use of an Instrument.  Sentences that describe the provision of food to others are NOT included in this frame.  'The wolves devoured the carcass completely.'
[Ingest_substance] In this frame an Ingestor takes a Substance into his or her body. The Delivery_device can appear as a direct object.    'You should refrain from taking vodka up the nose.'  'Smoking a cigarette only takes a couple of minutes . CNI '","An entity actively introduces a substance into their body, typically through physical intake mechanisms.",cumulative,anti-homeomeric,durative,agentive
Institutionalization,Institutionalization,"[Institutionalization] A Patient is committed to the care of a medical Facility by a proper Authority. Regardless of whether the Patient agrees or does not agree with their placement in the Facility, the Authority judges that it is in the best interest of the Patient or his environment that the Patient receive treatment in the Facility.   'Ten years after Abraham Lincoln's assassination, a Chicago court declared his 56-year-old widow Mary insane and committed her to a mental institution.'  'A pregnant woman was hospitalized  with gunshots to her shoulder and abdomen. CNI INI'  'Arberg issued a two-sentence statement saying Rehnquist was hospitalized for a fever and undergoing tests. CNI INI'  'The hospitalization of the Saudi king upset the skittish oil markets. INI INI'","An authority places an individual into a medical facility for treatment or care, based on a judgment about their condition or well-being.",anti-cumulative,homeomeric,atomic,agentive
Creating,"Intentionally create, Creating, Coming up with","[Intentionally_create] The Creator creates a new entity, the Created_entity, possibly out of Components.  'The Libyans were generating arms for export.'
[Creating] A Cause leads to the formation of a Created_entity.  'Dr. Frankenstein created a monster.'
[Coming_up_with] Words in this frame have to do with a Cognizer creating a new intellectual entity, the Idea. These words are similar to words of physical creation such as build and make, and in some cases may be understood as metaphorically based on such words. However, the Ideas in this frame are predominantly conceptual in nature.  Compare this frame with Achieving_first.  In that frame, the fact that the idea is new to society is emphasized, whereas Coming_up_with refers to an agentive Cognizer using mental effort to figure something out, without any implication of the impact of the idea.  'I 've been trying to come up with a plan .'  ","An event where a Creator, through intentional action or causal processes, brings a new entity — physical, intellectual, or conceptual — into existence, possibly by assembling components or generating original ideas.",anti-cumulative,anti-homeomeric,durative,non-agentive
Judgment communication,"Judgment communication, Judgment direct address","[Judgment_communication] A Communicator communicates a judgment of an Evaluee to an Addressee.  The judgment may be positive (e.g. praise) or negative (e.g. criticize), and this is indicated by the semantic types Positive and Negative attached to the lexical units.  This frame does not contain words where Evaluee and the Addressee are necessarily the same .  'I commended his handling of the crisis.' 'Gaston denounced him to the committee.' This is distinct from the Judgment frame in that it involves the communication of an evaluation, rather than merely forming and holding a particular evaluation.
[Judgment_direct_address] In this frame, a Communicator judges the Addressee and then communicates that appraisal directly to the Addressee. The judgment is given for a particular Reason or about a particular Topic.  'The principal rebuked the student for cheating on the exam.'","An event where a Communicator expresses an evaluative judgment—positive or negative—about an entity (Evaluee or Addressee) to another party, making the assessment explicitly known.",anti-cumulative,homeomeric,atomic,agentive
Justifying,Justifying,"[Justifying] An Agent has done or omitted to do an Act or is responsible for the obtaining of a State_of_affairs, which a Judge deems to constitute a violation of an obligation or a moral guideline. The Agent gives a Reason why the Act or omission or State_of_affairs was licit despite appearances.  NOTE: There is a consistent metaphorical conception of justifying as defending.  Words in the defending frame can also be used in the justifying frame.  'Kim failed to fully justify his decision.'","An agent explains or defends an action, omission, or situation to show that it was acceptable despite appearing to violate a norm or obligation.",anti-cumulative,anti-homeomeric,durative,agentive
Kidnapping,Kidnapping,"[Kidnapping] The words in this frame describe situations in which a Perpetrator carries off and holds the Victim against his or her will by force. '' 'Two men kidnapped a Millwall soccer club employee, police said last night.'  'Not even the abduction of his children by Captain Hook and his scurvy sidekick, Smee, can shake Peter's scepticism.'",A perpetrator forcibly seizes and detains a victim against their will.,anti-cumulative,anti-homeomeric,durative,agentive
Killing,Killing,[Killing] A Killer or Cause causes the death of the Victim. 'John drowned Martha.', A Killer or Cause causes the death of the Victim.,anti-cumulative,anti-homeomeric,durative,non-agentive
Labeling,Labeling,"[Labeling] A Speaker uses as a Label to refer to an Entity. The Label is not a conventional name for the Entity but a description categorizing the Entity and thereby  expressing a judgment.  'Some labeled him a womanizer.'  'During her lifetime, her enemies branded her as a prostitute. '  ",An agent assigns a descriptive term to an entity in order to categorize it and express a judgment.,anti-cumulative,homeomeric,atomic,agentive
Legal rulings,Legal rulings,"[Legal_rulings] An Authority with the power to make decisions hands down a Finding over a question presented in a formal or informal Case.   'The judge ruled yesterday that the revisions were not adequate. DNI'  'A high court in London ruled on the case that a vulture fund can extract more than $20 million from Zambia for a debt.'  'In the California case, a judge ruled Oct. 12 that Tendler must pay the bloggers' legal fees.'  ",An event where an Authority formally issues a decision or Finding to resolve a question or dispute within a Case,anti-cumulative,homeomeric,atomic,agentive
Lighting,Light movement,"[Light_movement] An Emitter emits a Beam of light from a Source, along a Path, and/or towards a Goal.  Essentially, this frame denotes the (semi-)fictive motion of the the Beam. 'Avoid allowing light to shine into neighbors' gardens.' 'Clear yellow sunlight shone through the window-panes.' 'She thinks the sun shines out of his backside.' '...when the candles shine out.' 'It shines in my eyes. ('It' is both Beam and Emitter, though only one will show up in the display.) ' '...light shines down on the world.' 'The moonlight shone off the fields.' 'The candlelight glinted from pearls and rubies.'",An event where an Emitter produces and projects a Beam of light from a Source along a Path toward a Goal.,cumulative,homeomeric,durative,non-agentive
Limiting,limiting/limitation,"[Limiting] An Agent or Cause limits a Range_of_options to having a certain Characteristic. The Characteristic may be that only certain types of the Range_of_options may be acceptable, or (in the case of a plural or mass Range_of_options) that only certain cardinalities or quanties are acceptable. Alternatively, the Degree to which the Range_of_options is limited may be mentioned.  'His choices in life have limited his opportunities severely.'  'Treatment was limited to one pill per day. CNI'
[Limitation] An Entity that would be expected to have a characteristic to a certain degree (typically based on comparison to other entities of the same type) instead has a more limited degree of that characteristic.  'The limitations on the theory's applicability made it unpopular in its time.'  'Are there any undocumented limitations on the use of this machine?'","An agent, cause, or condition restricts the range, quantity, or extent of something compared to what would typically be expected.",anti-cumulative,homeomeric,atomic,non-agentive
Hold ,"Manipulation,  Manipulate into doing","[Manipulation] The words in this frame describe the manipulation of an Entity by an Agent.  Generally, this implies that the Entity is not deeply or permanently physically affected, nor is it overall moved from one place to another.  'Ian squeezed Mara's hand.' ''  A number of lexemes listed in this frame also occur in the Cause_motion frame (for example, push, yank).  Only the non-motion uses of these words belong in this frame, e.g., combinations such as push at, push on, yank at. 
[Manipulate_into_doing] A Manipulator gets his Victim to perform a Resulting_action against what their better judgment would have been at the time. The means by which the Manipulator overcomes or bypasses the Victim's resistance to act need not be linguistic expression.  In some cases, the Goods may stand in for a Resulting_action of the Victim giving the Manipulator the Goods. '' 'Are you trying to tell me that Ace blackmailed you into becoming his lover?'  'Stephanopoulos skillfully cajoles him into keeping quiet.'","An event where an Agent physically manipulates an Entity without fundamentally altering or relocating it, or mentally influences a Victim into performing an action they would otherwise resist.",cumulative,homeomeric,durative,agentive
Manufacturing,Manufacturing,[Manufacturing] A Producer produces a Product from a Resource for commercial purposes. ' They produced only half of the units after an injunction to follow the environmental policy.',"An event where a Producer creates a Product from Resources, typically as part of a commercial or industrial process.",anti-cumulative,anti-homeomeric,durative,agentive
Military operation,Military operation,"[Military_operation] The Military of a Possessor (either a nation, institution, or private individual) conducts large-scale activities in a Area to accomplish military or combined military/non-military goals.  'These groups are known to have carried out attacks on international coalition forces operating in Afghanistan.'  'Anti-piracy operations will continue while new strategies are developed.'  This frame construes the operation asymmetrically: the Military acts with respect to military and political entities in the target Area. Compare this to (usually, but not always, lower-level and violent) military actions that can be understood symmetrically (war, battle, encounter, engagement, etc).","An organized set of large-scale activities carried out by a Military belonging to a Possessor (e.g., nation, institution) within a geographic Area, aimed at achieving military or combined military and non-military objectives.",anti-cumulative,anti-homeomeric,durative,agentive
Motion directional,"Motion directional, Intentional traversing, Traversing","[Motion_directional] In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces. The Theme is not necessarily a self-mover.  ' The paper fell to the floor.'  ' The girl dropped 13 stories to her death.'
[Intentional_traversing] A Self_mover intentionally moves in a Directionon a Path relative to landmark that is neither the Source nor the Goal of the overall motion. The shape or configuration of the Path may be expressed with a Path_shape   'Ambrose Powell forded over on one horse, and we drove the others after him.'  'We repassed the first day's battlefield and ascended the road to the city.'  'Jeff Manor and I climbed the North Face of Mt Shuksan, with cold, clear weather and solid ice.'
[Traversing] A Theme changes location with respect to a salient location, which can be expressed by a Source, Path, Goal, Area, Direction, Path_shape, or Distance, as shown in the examples below: ''  'Start your ascent from Achintree Farm in Glen Nevis.'  'We crossed the desert.'  'She jumped across the ditch that marked the entrance to the woods.'  'The children hopped into the neighbor's yard.'  'I leaped twenty feet before slipping and falling.'  'As they did so, the plane circled lower.'  'Boyner has been crisscrossing the country since May.'","An event where a Theme (an entity) changes its location relative to a landmark or moves along a path or direction, either intentionally (through self-movement) or due to external forces.",cumulative,homeomeric,durative,non-agentive
Motion,"Motion scenario, Temporary leave, Cause motion, Cause to move in place, Motion, Cause fluidic motion, Fluidic motion, Mass motion","[Motion_scenario] This frame binds together the various parts of movement, from setting out, to traveling, to arriving.
[Temporary_leave] A Person takes leave from his or her routine Activity (such as work or school) for a Duration of time.  The Duration can be any length of time, as long as the absence is temporary.     '' 'The claimant should then submit medical certificates for the duration of their absence from work.INI' '' 'He took three month's leave and went to our world assembly at Caux. DNI' '' 'Negroponte, who is on a two-year leave of absence from MIT, decided to stay on to the end of the present academic year.'
[Cause_motion] An Agent causes a Theme to move from a Source, along a Path, to a Goal.  Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually leave some of the Source, Path and/or Goal implicit. The completion of motion is not required (unlike the Placing frame, see below), although individual sentences annotated with this frame may emphasize the Goal.   '' This frame is very broad and contains several different kinds of words that refer to causing motion.  Some words in this frame do not emphasize the Manner/Means of causing the motion (transfer.v, move.v).  For many of the others (cast.v, throw.v, chuck.v, etc.), the Agent has control of the Theme only at the Source of motion, and does not experience overall motion.  For others (e.g. drag.v, push.v, shove.v, etc.) the Agent has control of the Theme throughout the motion; for these words, the Theme is resistant to motion due to some friction with the surface along which they move.    'She threw her shoes into the dryer .' 'The mechanic dragged the jack out from under the car .' 'We will move the sofa out of the room through the french doors, down the stairs, and onto the sidewalk .' '' ''  This frame is used in a very large number of productive metaphors, not all of which can be outlined here.  The most salient types include causing an entity, construed as a Theme, to change state from an initial state (Source) via an intermediate state (Path) to a final state (Goal): 'Hillary was catapulted to stardom and his life has never been the same since . CNI' 'She felt as though flung from health to illness and back by the day , by the hour .' 'Once our parents are dead , we are catapulted into becoming the older generation ourselves . CNI' 'Croquet was pushed out by tennis .' ''  A particularly divergent subtype casts changing someone's intentions as changing their location: 'Democratsforced the Senate into a rare closed door session .' 'He nudged Mrs Thatcher towards acceptance of a unified Germany .' ''  Another subtype is specifically about causing a change in quantity (the Theme) through some sequence of values (Source, Path, and Goal): 'Bonus payments would be handed out for pushing up voting levels CNI .' ''  Another type, with many subtypes, involves causing an action or state (construed as a Theme) to have an effect on another person or location or conceptual domain. In such cases, theGoal is used for the final affected domain, and Source for initial affected domain, Path for an intermediate affected domain, and Distance for degree of difference between original application of the action and final: 'Jake had been hurling these same insults at her now for years' 'One can not press this argument too far .' 'She shoved the thought to the very back of her mind .' 'She flung him a savage little smile .' All of the foregoing metaphorical uses are annotated in this frame and marked ""Metaphor"", since they seem to be semantically motivated and not lexically idiosyncratic. '' ''  This frame contrasts with the following frames which talk about an Agent changing a Theme's position with respect to a landmark (either Source or Goal): ''  In Placing, the figure (Theme) is profiled as the object, and ends up on the ground (Goal).  The focus is on the final stage of motion, in which the Theme ends up at the Goal, and usually stably remains there. 'Joyce placed the flowers onto the bed.' ''  In Filling, the ground (Goal) is profiled as the object, and the figure (Theme) ends up on the ground (Goal). 'John filled the box with old toys.' ''  In Removing, the figure (Theme) is profiled, and is removed from the ground (Source). 'Jennifer removed the flowers from the bed.' ''  In Emptying, the ground (Source) is profiled and the figure (Theme) is removed from it. 'Jason emptied the box of the old toys .' ''  Words of this frame also differ from the words of the Bringing frame in that they are more general:  either the Agent has a momentary interaction with the Theme that causes its motion, unlike the continuous causation of Bringing, or the Agent continuously acts on the Theme, but there is no supporting object that helps with the motion like the Carrier of the Bringing frame.  
[Cause_to_move_in_place] An Agent causes a Theme to move with respect to a certain Fixed_location, generally with a certain Periodicity, without undergoing unbounded translational motion or significant alteration of configuration/shape. 'Paul shook the remote control frantically.'
[Motion] Some entity (Theme) starts out in one place (Source) and ends up in some other place (Goal), having covered some space between the two (Path). Alternatively, the Area or Directionin which the Theme moves or the Distance of the movement may be mentioned.  'That kite you see just to the right of his head was moving around pretty fast but the camera seemed to catch it ok.'  'There are several accounts of the stench drifting to shore from the ships in the middle of the river'  'Dust particles floating about made him sneeze uncontrollably.'  'The grill, unsecured, rolled a few feet across the yard.'  'The swarm went away to the end of the hall.'  The frames that inherit the general Motion frame add some elaboration to this simple idea.  Inheriting frames can add Goal-profiling (arrive, reach), Source-profiling (leave, depart), or Path-profiling (traverse, cross), or aspects of the manner of motion (run, jog) or assumptions about the shape-properties, etc., of any of the places involved (insert, extract). A particularly complex area in the vocabulary of Motion is the depiction of the relation of Vehicles to the Theme.  In some cases, no separate Theme is expressed:  'The plane flew over the city.'   In this case, the sentence is annotated in Self_motion.  When the Vehicle is profiled as being operated by a Driver, the sentence is annotated in the Operate_vehicles frame:  'Don't try to fly an F-16 without training!'  This is very similar to the Bringing frame which covers cases where the Vehicle is necessarily involved, but the movement of the Theme (something carried by the Vehicle) is profiled:  'It's scary flying hundreds of people over thousands of miles of ocean every day.'  Some of the same vocabulary is also used to describe the situation where Passengers Ride_vehicle or Operate_vehicle (each of these a perspective on Use_vehicles):  'I flew to Chicago on the red-eye.' 'I flew my plane across the Canadian border'   Finally, there are cases where, despite the use of similar vocabulary, there is no self-propelled Vehicle involved at all:  'The ball flew over the fence.'  This last type is annotated in the simple Motion frame.
[Cause_fluidic_motion] An Agent or a Cause causes a Fluid to move from a Source to a Goal along a Path or within an Area.  'I splattered red paint nearby.'
[Fluidic_motion] In this frame a Fluid moves from a Source to a Goal along a Path or within an Area.  ' The blood spurted from the wound. ''The water gushed into the house . '
[Mass_motion] A Mass_theme, generally made up of many individuals, moves from a Source to a Goal with some Path.   'Emails from so-called Nigerian princes flooded inboxes all over the US.'","An agent, cause, or entity initiates or undergoes movement from a source toward a goal along a path, optionally involving different manners, periodicities, or material forms.",cumulative,anti-homeomeric,durative,non-agentive
Name conferral,Name conferral,[Name_conferral] This  frame contains words that talk about how Speakers name Entities.  'They drove through an area nicknamed Sniper's Alley' 'His parents named him Winston after the British prime minister.'   In this frame we will ignore uses of words like baptize and christen that don't clearly bring out the name conferral but talk about the meaning of baptism etc. as a sacrament:  'They christened  the child on December 4th.' 'Method was baptized into the church soon thereafter.' 'Cyril was baptized as  a Methodist.'  ,"An event where a Speaker assigns or confers a name onto an Entity, establishing or altering its designated label within a social or linguistic context.",anti-cumulative,homeomeric,atomic,agentive
Openness,Openness,"[Openness] A Useful_location is accessible to some (possibly generic) Theme despite a potential Barrier, or is not accessible because of the Barrier.  'I left the door to the lobby open for you.' 'I left the door to the lobby open for you.'",An event or state where a Useful_location is either made accessible or remains inaccessible to a Theme depending on the presence or absence of a Barrier.,anti-cumulative,homeomeric,atomic,non-agentive
Testing,"Operational testing, Examination","[Operational_testing] A Tester uses a concrete or conceptual Product in order to determine either whether it works or to find out how well or in which manner it works. The Tester may have particular Unwanted_characteristics in mind that they are specifically looking for. The operational test may also be carried out under a particular set of Circumstances that are typically relevant to the functioning of the Product.  'Sun has (hopefully) already tested it for compliance.' 'The Velcro hook and loop closure system has been tested under wet conditions and retains its holding power after 10,000 open and close functions. CNI INI' 'Roe revisited the compound and tested it as a mosquito repellent.'
[Examination] This frame deals with testing or examination of someone's Knowledge or skill in a particular area.  An Examiner conducts an Examination to an Examinee to determine the Examinee's Knowledge and/or determine their Qualification for some privilege; this proceeds either by the Examinee demonstrating a skill or by writing responses to questions. '' 'At the end of the trial period all three groups took an English for Commerce examination to assess progress.'  'Many constables had passed the Sergeant's exam.'  'The only point of Mr. Baker's tests that I can devine is that they will serve to check up on the teachers.'","An authority or evaluator assesses the performance, functionality, or knowledge of a subject (a product or a person) under specific conditions to determine its quality, capability, or suitability.",anti-cumulative,anti-homeomeric,durative,agentive
Participation,Participation,"[Participation] An Event with multiple Participants takes place. It can be presented either symmetrically with Participants or asymmetrically, giving Participant_1 greater prominence over Participant_2. If the Event is engaged in intentionally, then there is typically a shared Purpose between the Participants. It is, however, possible that an expressed Purpose only applies to Participant_1.   'MATAC looks forward to your participation in helping promote telework in the Mid-Atlantic region.'  ' FOAP provides participants with comprehensive clerical skills. DNI' ' FOAP provides participants with comprehensive clerical skills. '   'Our eight-year-old son was recently  peripherally involved in an incident which resulted in him being threatened with the strap.'  'A New York press agent must scramble when his major client becomes embroiled in a huge scandal.'  'In his time as a first-team all-league player, Rife was in on 86 solo tackles.'","An event in which multiple participants are involved, either symmetrically or asymmetrically, engaging together in a shared or individual activity or situation.",cumulative,anti-homeomeric,durative,non-agentive
Patrolling,Patrolling,"[Patrolling] An individual or group, the Patrol moves through and examines a Ground in order to ensure that it is in a generally Desired_state_of_affairs, particularly that it is safe and contains no dangerous Unwanted_entity. Rather than moving through the Ground, the Patrol may simply move such that all the (relevant portions of) Ground can be observed and checked.  'Detective Jones patrolled the northern half of the building.'  'Security guards patrolled for intruders while the game was in progress.'",An event where an individual or group moves through or observes an area to monitor and ensure that it remains in a desired or safe state.,cumulative,anti-homeomeric,durative,agentive
Perception active,Perception active,"[Perception_active] This frame contains perception words whose perceivers intentionally direct their attention to some entity or phenomenon in order to have a perceptual experience.  For this reason we call the perceiver role in this frame Perceiver_agentive.    'She gazed upon him fondly.'  Comparing the Perception_active frame to the Perception_experience frame, we note that for some modalities there are different lexical items in each frame.  For instance, whereas Perception_active contains the verb phrase look at, Perception_experience contains see.   For other sense modalities, we find the same lexical item in both frames.  To illustrate, consider the verb smell.  This first sentence exemplifies the Perception_active use of the verb smell:'Smell this to see if it's fresh.CNI' This second sentence exemplifies its Perception_experience sense: 'I smell something rotten.'  ",An event where a Perceiver intentionally directs their attention toward an entity or phenomenon in order to have a perceptual experience.,cumulative,anti-homeomeric,durative,agentive
Placing,"Placing scenario, Placing, Being located","[Placing_scenario] This frame represents the abstract scene in which an Agent manipulates a Theme's location, thus affecting a Goal which ends up co-located with the Theme.  This frame is primarily for Inheritance.
[Placing] Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled.  In this frame, the Theme is under the control of the Agent/Cause at the time of its arrival at the Goal.  'David placed his briefcase on the floor.'  This frame differs from Filling in that it focuses on the Theme rather than the effect on the Goal entity.  It differs from Removing in focusing on the Goal rather than the Source of motion for the Theme.
","An agent deliberately positions a theme at a specified goal location, controlling the theme’s placement and emphasizing its final location.",anti-cumulative,homeomeric,atomic,agentive
Receiving ,"Post receiving, Receiving","
[Receiving] A Recipient comes into possession of the Theme as a result of the joint action of the Donor and the Recipient.  The Receiving frame like the Giving frame requires that the Donor first has possession of the Theme and that following the transfer, the Donorno longer has the Theme and the Recipient does.  'I recieved a box from him in the mail.'","An event or state where a Theme is transferred from a Donor to a Recipient, resulting in the Recipient coming into possession of the Theme.",anti-cumulative,homeomeric,atomic,agentive
Practice,Practice,[Practice] An Agent enacts an Action that is intended to be performed again at one or more later Occasions.  The goal of practicing is to ensure that the action at the later Occasion(s) comes off flawlessly.   'I practiced my song for the play.',An event where an Agent repeatedly performs an Action to improve future execution of that Action.,cumulative,anti-homeomeric,durative,agentive
Preserving,Preserving,[Preserving] In this frame an  Agent preserves a Patient in order to prevent it from decaying.   A Medium may be used.   'Bill mummified John.'  'Tess pickled the beets  in vinegar.'  'The Smiths dried the apples.',"An event where an Agent acts to maintain the condition or integrity of a Patient, preventing its natural decay, deterioration, or spoilage.",cumulative,anti-homeomeric,durative,agentive
Imprisonment,Prison,[Prison] This Frame deals with Penal_institutions. They are run by an Operator and may be intended to hold certain kinds of Inmates.  Penal_institutions may have a special Name and their Location may also be indicated.  'He's in Pelican Bay state penitentiary.',"Imprisoning is an event where an authority or agent restricts an individual's freedom by placing them in a confined space, typically as a result of a legal or punitive decision, thereby preventing their voluntary movement or access to the outside world .",anti-cumulative,anti-homeomeric,durative,agentive
Process end,"Process completed state, Process end, Activity done state, Cause to end, Activity stop","[Process_completed_state] A Process is finished and can no longer proceed.  'The project is complete.'
[Process_end] A Process comes to an end.  'The project came to a close.'
[Activity_done_state] An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.'  'Construction on the new Safeway was done by October.'
[Cause_to_end] An Agent or Cause causes a Process or State to end.   'Bush may lift sanctions on his own, despite opposition.'
[Activity_stop] An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.'  'The rugby club terminated negotiations with Argyll in September 1988.'","An event where a Process or Activity reaches its conclusion, either by natural completion, deliberate cessation by an Agent, or external causation, resulting in the process no longer continuing.",anti-cumulative,homeomeric,atomic,non-agentive
Process start,"Process start, Activity start","[Process_start] An Event begins at a certain Time and Place. Reason may also be indicated.  NB:  Refer to Event frame.  'The project began.'
[Activity_start] An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.'  'Naturally, I started crying to get out of work.'  ","An event where either an Event or an ongoing Activity begins at a specific Time and Place, possibly involving an intentional Agent for activities.",anti-cumulative,homeomeric,atomic,non-agentive
Publishing,Publishing,"[Publishing] A Publisher makes a Work of an Author (or authors) available to some public Audience for general enjoyment, examination, and reference. The Medium of a Work can vary; examples include books, TV programs, movies, and radio shows. Publication normally involves a number of other events, such as editing and advertising of the Work, and mass production and sales of a represenation of the Work; thus in the most elaborated version of publication, there are a number of other potential roles, such as editor, publicist/advertizer, distributor, printer, etc., but none of these show up as separate, syntactically distinguished roles for the LUs in this frame.  'Doubleday is publishing my newest novel next week.' 'I 'm publishing my next one with Random House .'","An event where a Publisher makes a Work created by an Author accessible to a public Audience through some medium for broader consumption or use.
",anti-cumulative,homeomeric,atomic,agentive
Quarreling,Quarreling,[Quarreling] A group of Arguers (also expressible as Arguer1 and Arguer2) express incompatible opinions or beliefs about an Issue.  'We bickered about semantics for an hour.',An event where two or more parties engage in expressing conflicting or incompatible opinions or beliefs about an issue.,anti-cumulative,anti-homeomeric,durative,agentive
Ratification,Ratification,"[Ratification] A Ratifier responds to a Proposal constructed by another party to make it binding over the Ratifier's jurisdiction or constituency.  'The ratification of the Kyoto protocol has been a long, hard slog.' 'The US is considering ratifying the cybercrime treaty. ' 'The Malaysian government will ratify the UN's anti-smoking programme by the end of the year. '","An event where a Ratifier formally approves a Proposal, making it officially valid or binding within their authority or constituency.",anti-cumulative,homeomeric,atomic,agentive
Protest,Reasoning,"[Reasoning] An Arguer presents a Content, along with Support, to an Addressee.  The Content may refer elliptically to a course of action or it may refer to a proposition that the Addressee is to believe.  Some lexical units (e.g. ""prove"") indicate the speaker's belief about the Content.'Jan argued that the evidence was inadmissable.''Jan argued against the admissability of the evidence.''Jan proved  that the evidence was inadmissable.'",An agent presents support for a content or claim in order to persuade an addressee about a belief or course of action.,cumulative,anti-homeomeric,durative,agentive
