EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
Change event time,"An event where an Agent or Cause intentionally delays, reschedules, or alters the timing or duration of another Event, affecting when or how long it occurs.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the intentional act of delaying, rescheduling, or altering the timing of another event cannot be aggregated into a larger whole that is still an instance of the same type, as each instance of delay or rescheduling is unique and distinct.","The event is labeled 'anti-homeomeric' because the act of delaying, rescheduling, or altering the timing or duration introduces different subactivities or stages, such as the initial plan, the act of changing, and the final altered event, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the intentional delay, rescheduling, or alteration of the timing or duration of another event, which implies distinct phases or stages.","The event is labeled 'agentive' because it involves an agent or cause intentionally manipulating the timing or duration of another event, indicating a clear purpose or goal."
Hostile encounter,An event where two opposing sides engage in a conflict or confrontation over a disputed issue or to achieve a specific purpose.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because combining two separate conflicts or confrontations does not create a larger instance of the same type of event, but rather results in multiple distinct events.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as planning, confrontation, and resolution, which are not all instances of the same type of event.","The event is labeled 'durative' because a conflict or confrontation between two opposing sides unfolds over time and can be divided into distinct stages such as escalation, peak confrontation, and resolution.","The event is labeled 'agentive' because it involves intentional initiation by two opposing sides with a clear goal or purpose, which is to resolve a disputed issue or achieve a specific objective."
Imposing obligation,"A situation where a duty or responsibility is placed on a party based on a principle, requiring them to act or respond in a particular way.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the responsibility or duty placed on a party cannot be aggregated or combined with another similar event without altering the nature or identity of the original event.,"The event is labeled 'anti-homeomeric' because the duty or responsibility placed on a party may involve various distinct actions or responses over time, which may not all be instances of the same type of event.","The event is labeled 'durative' because the process of placing a duty or responsibility on a party and requiring them to act or respond unfolds over time and can be divided into distinct stages such as assigning the duty, the party acknowledging it, and then acting upon it.","The event is labeled 'agentive' because it involves a party intentionally taking action or responding due to a duty or responsibility placed upon them, indicating a clear purpose or goal."
Ingestion,"An entity actively introduces a substance into their body, typically through physical intake mechanisms.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because multiple instances of introducing a substance into the body cannot be aggregated into a larger whole that is still considered the same instance of substance intake.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as obtaining the substance, preparing it if necessary, and then physically consuming it, which are not all instances of the same type.","The event is labeled 'durative' because the process of introducing a substance into the body involves multiple stages, such as preparation, ingestion, and absorption, which unfold over a period of time.","The event is labeled 'agentive' because it involves an entity intentionally initiating the action of introducing a substance into their body, indicating a clear purpose or goal."
Institutionalization,"An authority places an individual into a medical facility for treatment or care, based on a judgment about their condition or well-being.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of placing an individual into a medical facility cannot be aggregated into a larger whole that still represents the same type of event, as each instance remains distinct based on the individual's unique condition or well-being at that time.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the authority's judgment, the act of placing the individual, and the treatment or care in the medical facility, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the authority's judgment, the decision to place the individual into a medical facility, and the actual act of placement, all of which can be segmented into distinct stages.",The event is labeled 'agentive' because it involves an authority intentionally initiating the action of placing an individual into a medical facility with a specific goal of treatment or care.
Creating,"An event where a Creator, through intentional action or causal processes, brings a new entity  physical, intellectual, or conceptual  into existence, possibly by assembling components or generating original ideas.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the creation of a new entity is a distinct, non-repeatable event, and combining multiple instances of creation does not result in another instance of the same type of creation event.","The event is labeled 'anti-homeomeric' because the process of creation involves different stages or subactivities, such as conceptualizing, assembling, or generating ideas, which are not all instances of the same type.","The event is labeled 'durative' because the process of creating a new entity, whether physical, intellectual, or conceptual, typically involves multiple stages and extends over a period of time.",The event is labeled 'agentive' because it involves a Creator intentionally initiating an action or process with a specific goal of bringing a new entity into existence.
Judgment communication,"An event where a Communicator expresses an evaluative judgmentpositive or negativeabout an entity (Evaluee or Addressee) to another party, making the assessment explicitly known.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of expressing an evaluative judgment cannot be combined into a larger whole that still represents the same type of event, as each expression of judgment is unique and distinct.","The event is labeled 'anti-homeomeric' because the expression of an evaluative judgment involves distinct subactivities such as forming the judgment, expressing it, and making it known to another party, which are not all instances of the same type.","The event is labeled 'durative' because the act of expressing an evaluative judgment involves a process that unfolds over time, potentially including stages such as forming the judgment, deciding to communicate it, and actually expressing it.","The event is labeled 'agentive' because it involves a Communicator intentionally expressing an evaluative judgment about an entity to another party, which indicates a clear purpose or goal."
Justifying,"An agent explains or defends an action, omission, or situation to show that it was acceptable despite appearing to violate a norm or obligation.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of explaining or defending an action, omission, or situation is unique and cannot be aggregated into a larger whole without losing its specific context and meaning.","The event is labeled 'anti-homeomeric' because the process of explaining or defending an action involves various distinct subactivities such as identifying the issue, formulating an argument, and presenting the defense, which are not all instances of the same type.","The event is labeled 'durative' because the process of explaining or defending an action, omission, or situation involves a series of steps or stages that unfold over time, such as presenting facts, providing arguments, and responding to counterarguments.","The event is labeled 'agentive' because it involves an agent intentionally initiating an action (explaining or defending) with a specific goal (to show that an action, omission, or situation was acceptable)."
Kidnapping,A perpetrator forcibly seizes and detains a victim against their will.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because forcibly seizing and detaining multiple victims does not create a larger instance of the same event, but rather multiple distinct instances of the event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the forcible seizure and the detention of the victim, which are not instances of the same type of event.","The event is labeled 'durative' because the act of forcibly seizing and detaining a victim involves a process that unfolds over time and can be divided into distinct stages such as planning, execution, and detention.",The event is labeled 'agentive' because it involves a perpetrator intentionally initiating the action of forcibly seizing and detaining a victim with a specific goal or purpose.
Killing, A Killer or Cause causes the death of the Victim.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of causing death cannot be aggregated; once a victim is dead, additional acts of killing do not result in more instances of the same event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as planning, execution, and aftermath, which are not all instances of the same type as the overall event of causing death.","The event is labeled 'durative' because the act of causing death typically involves a process that unfolds over time, such as a sequence of actions or a progression of a disease, which can be divided into distinct stages.","The event is labeled 'agentive' because the action of causing death is intentionally initiated by an agent (the killer or cause) with a specific goal, which is to end the life of the victim."
Labeling,An agent assigns a descriptive term to an entity in order to categorize it and express a judgment.,anti-cumulative,homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the act of assigning a descriptive term is a distinct occurrence that cannot be combined with another similar act to form a larger instance of the same event type.,"The event is labeled 'homeomeric' because every temporal part of the event is an instance of the same type, indicating uniformity across all temporal intervals.",The event is labeled 'durative' because it unfolds over a period of time and can be broken down into distinct stages or phases.,The event is labeled 'agentive' because it involves an intentional action initiated by an agent with a specific goal or purpose.
Legal rulings,An event where an Authority formally issues a decision or Finding to resolve a question or dispute within a Case,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of an authority issuing a decision or finding to resolve a question or dispute within a case is a distinct event and cannot be aggregated into a larger whole that is still an instance of the same type.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the authority's deliberation, the formal issuance of the decision, and the resolution of the dispute, which are not all instances of the same type.",The event is labeled 'durative' because the process of an authority formally issuing a decision or finding to resolve a question or dispute within a case involves multiple stages and extends over a period of time.,The event is labeled 'agentive' because it involves an Authority intentionally initiating the action of issuing a decision or finding with the specific goal of resolving a question or dispute within a case.
Lighting,An event where an Emitter produces and projects a Beam of light from a Source along a Path toward a Goal.,anti-cumulative,homeomeric,atomic,agentive,"The event is labeled 'anti-cumulative' because the act of producing and projecting a beam of light from a source cannot be aggregated with another similar act to form a larger instance of the same event type, as each act of emission is distinct and non-overlapping.","The event is labeled 'homeomeric' because every temporal part of the event, from the production to the projection of the light beam, is consistently an instance of the same event type, which is the Emitter producing and projecting light.",The event is labeled 'atomic' because the act of an Emitter producing and projecting a Beam of light is instantaneous and cannot be divided into smaller temporal parts.,"The event is labeled 'agentive' because it involves an Emitter intentionally producing and projecting a Beam of light from a Source along a Path toward a Goal, indicating a clear purpose or goal-directed action."
Limiting,"An agent, cause, or condition restricts the range, quantity, or extent of something compared to what would typically be expected.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the restriction of range, quantity, or extent inherently prevents the aggregation of multiple instances into a larger whole that maintains the same type, as each instance is distinct and cannot be merged without altering the event's identity.","The event is labeled 'anti-homeomeric' because the restriction of range, quantity, or extent introduces variability and heterogeneity, meaning not all temporal parts of the event are instances of the same type.","The event is labeled 'durative' because it describes a process that unfolds over time with distinct stages, such as the restriction phase and the comparison phase, rather than being an instantaneous occurrence.","The event is labeled 'agentive' because it involves an agent, cause, or condition intentionally initiating an action with a specific goal to restrict the range, quantity, or extent of something."
Hold ,"An event where an Agent physically manipulates an Entity without fundamentally altering or relocating it, or mentally influences a Victim into performing an action they would otherwise resist.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of the event, such as manipulating an entity or influencing a victim, cannot be combined into a larger instance of the same type without changing the fundamental nature of the event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent's physical manipulation or mental influence and the victim's subsequent action, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, such as the agent physically manipulating an entity or mentally influencing a victim, which are actions that inherently involve distinct stages or phases.","The event is labeled 'agentive' because it involves an Agent intentionally initiating an action, either physically manipulating an Entity or mentally influencing a Victim, with a specific goal or purpose."
Manufacturing,"An event where a Producer creates a Product from Resources, typically as part of a commercial or industrial process.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the process of creating a product from resources cannot be merged with another similar process without altering the identity of the event, as each production process is distinct and unique.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as gathering resources, processing them, and creating the final product, which are not all instances of the same type.",The event is labeled 'durative' because the process of a producer creating a product from resources involves multiple stages and extends over a period of time.,"The event is labeled 'agentive' because it involves a Producer (the agent) intentionally initiating the process of creating a Product from Resources with a specific goal or purpose, typically for commercial or industrial use."
Military operation,"An organized set of large-scale activities carried out by a Military belonging to a Possessor (e.g., nation, institution) within a geographic Area, aimed at achieving military or combined military and non-military objectives.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of large-scale military activities cannot be aggregated into a larger whole that is still considered the same event, as each operation has distinct objectives and contexts.","The event is labeled 'anti-homeomeric' because a large-scale military operation involves a variety of distinct subactivities, such as planning, mobilization, combat, and recovery, each of which may not be an instance of the same type as the overall event.","The event is labeled 'durative' because a military operation is a large-scale activity that unfolds over time and can be segmented into distinct phases or stages, such as planning, execution, and aftermath.","The event is labeled 'agentive' because it involves intentional, goal-directed actions initiated by a military organization, which is the agent with a specific objective."
Motion directional,"An event where a Theme (an entity) changes its location relative to a landmark or moves along a path or direction, either intentionally (through self-movement) or due to external forces.",cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of the theme changing its location can be aggregated into a larger movement event that is still of the same type, preserving the identity of the event type.","The event is labeled 'anti-homeomeric' because the movement of the Theme, whether intentional or due to external forces, involves different stages or subactivities (like starting, moving, and stopping), which are not all instances of the same type.","The event is labeled 'durative' because the process of an entity changing its location or moving along a path or direction inherently involves a progression over time and can be divided into distinct stages such as initiation, movement, and termination.","The event is labeled 'non-agentive' because while it may involve intentional action (self-movement), it does not necessarily require goal-directed initiation and can also occur due to external forces."
Motion,"An agent, cause, or entity initiates or undergoes movement from a source toward a goal along a path, optionally involving different manners, periodicities, or material forms.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of movement, whether they involve different manners, periodicities, or material forms, can be aggregated into a larger whole that still represents the same type of movement event.","The event is labeled 'anti-homeomeric' because it involves a sequence of different subactivities such as initiation, movement, and arrival at a goal, which are not all instances of the same type.","The event is labeled 'durative' because it describes a process that unfolds over time, involving movement from one point to another, which can be segmented into distinct stages such as initiation, transit, and arrival.","The event is labeled 'agentive' because it involves an agent, cause, or entity intentionally initiating or undergoing movement from a source towards a goal, indicating a clear purpose or goal."
Name conferral,"An event where a Speaker assigns or confers a name onto an Entity, establishing or altering its designated label within a social or linguistic context.",anti-cumulative,anti-homeomeric,atomic,agentive,"The event is labeled 'anti-cumulative' because assigning a name to an entity is a unique, individual event and combining multiple instances of name-assigning does not create a larger instance of the same event type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker's decision to assign a name, the actual act of naming, and the establishment of the new label, which are not all instances of the same type.","The event is labeled 'atomic' because the act of assigning or conferring a name onto an entity is considered a single, indivisible action that does not extend over time or have distinct stages.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating the action of assigning or conferring a name onto an Entity, which is a clear goal-directed action."
Openness,An event or state where a Useful_location is either made accessible or remains inaccessible to a Theme depending on the presence or absence of a Barrier.,anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of this event does not result in another instance of the same type, as the accessibility of a Useful_location depends on specific conditions (presence or absence of a Barrier) that cannot be merged or summed up.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as making a location accessible or keeping it inaccessible, which depend on the variable presence or absence of a barrier, thus not all temporal parts of the event are instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, with distinct stages such as the presence or absence of a barrier affecting the accessibility of a useful location.","The event is labeled 'non-agentive' because while it may involve intentional action (such as the creation or removal of a barrier), it does not necessarily require goal-directed initiation as the accessibility of the location can also be influenced by natural or external factors."
Testing,"An authority or evaluator assesses the performance, functionality, or knowledge of a subject (a product or a person) under specific conditions to determine its quality, capability, or suitability.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the assessment of one subject's performance or functionality does not combine with the assessment of another subject to form a larger assessment of the same type, as each evaluation is unique and distinct.","The event is labeled 'anti-homeomeric' because the process of evaluation involves various distinct subactivities such as setting conditions, assessing performance, and determining quality, which are not all instances of the same type.","The event is labeled 'durative' because the process of assessing performance, functionality, or knowledge involves multiple stages and extends over a period of time, rather than being an instantaneous occurrence.","The event is labeled 'agentive' because it involves an authority or evaluator intentionally initiating the assessment process with a specific goal of determining the quality, capability, or suitability of a subject."
Participation,"An event in which multiple participants are involved, either symmetrically or asymmetrically, engaging together in a shared or individual activity or situation.",cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because the involvement of multiple participants in a shared or individual activity can be aggregated into a larger whole, while still remaining an instance of the same event type.","The event is labeled 'anti-homeomeric' because it involves multiple participants engaging in potentially diverse activities or situations, which means that not all temporal parts of the event are instances of the same type.","The event is labeled 'durative' because it involves multiple participants engaging in an activity or situation over a period of time, which can be divided into distinct phases or stages.","The event is labeled 'non-agentive' because while it involves intentional action from multiple participants, it does not necessarily require a specific goal-directed initiation from any single agent."
Patrolling,An event where an individual or group moves through or observes an area to monitor and ensure that it remains in a desired or safe state.,cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of monitoring or moving through an area can be combined into a larger whole, such as a long-term surveillance operation, and still be considered the same type of event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as moving through an area and monitoring it, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, with distinct stages such as moving through the area, observing, and monitoring, which are not instantaneous but extend in time.",The event is labeled 'agentive' because it involves an individual or group intentionally initiating the action of moving through or observing an area with the specific goal of monitoring and ensuring its safety or desired state.
Perception active,An event where a Perceiver intentionally directs their attention toward an entity or phenomenon in order to have a perceptual experience.,anti-cumulative,homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a Perceiver intentionally directing their attention cannot be aggregated into a larger whole that is still an instance of the same type, as each perceptual experience is unique and distinct.","The event is labeled 'homeomeric' because every temporal part of the event, which involves a Perceiver intentionally directing their attention toward an entity or phenomenon, is an instance of the same type of event, maintaining uniformity across all temporal intervals.","The event is labeled 'durative' because the act of intentionally directing attention towards something to have a perceptual experience is a process that unfolds over time and can be divided into stages such as focusing attention, perceiving, and processing the perception.","The event is labeled 'agentive' because it involves a Perceiver intentionally directing their attention, which indicates a clear intent and goal-directed action."
Placing,"An agent deliberately positions a theme at a specified goal location, controlling the themes placement and emphasizing its final location.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of positioning a theme at a specified location is a distinct action and cannot be aggregated into a larger whole that still represents the same type of event.,"The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as the agent's decision to move the theme, the actual movement of the theme, and the final placement of the theme at the goal location, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the agent's deliberate action, the movement of the theme, and its final placement at the goal location.",The event is labeled 'agentive' because it involves a deliberate action initiated by an agent with a specific goal of positioning a theme at a certain location.
Receiving ,"An event or state where a Theme is transferred from a Donor to a Recipient, resulting in the Recipient coming into possession of the Theme.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the transfer of a Theme from a Donor to a Recipient is a distinct event, and combining multiple instances of such transfers does not result in a larger instance of the same type of event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the act of transferring from the Donor and the act of receiving by the Recipient, which are not instances of the same type.","The event is labeled 'durative' because the process of transferring a theme from a donor to a recipient involves distinct stages and extends over time, rather than being an instantaneous occurrence.",The event is labeled 'agentive' because it involves an intentional action initiated by a Donor (the agent) with the specific goal of transferring a Theme to a Recipient.
Practice,An event where an Agent repeatedly performs an Action to improve future execution of that Action.,cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because the repeated performance of the action by the agent can be aggregated into a larger whole, which is still an instance of the same type, indicating improvement over time.","The event is labeled 'anti-homeomeric' because the repeated performance of an action for improvement implies that each temporal part of the event may vary in quality or execution, and thus, they are not instances of the exact same type.","The event is labeled 'durative' because it involves a process that unfolds over time with repeated actions and improvements, indicating distinct phases or stages.",The event is labeled 'agentive' because it involves an agent intentionally and repeatedly performing an action with the specific goal of improving future execution of that action.
Preserving,"An event where an Agent acts to maintain the condition or integrity of a Patient, preventing its natural decay, deterioration, or spoilage.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of maintenance actions can be aggregated into a larger whole that still qualifies as maintenance, preserving the identity of the event type.","The event is labeled 'anti-homeomeric' because the act of maintaining the condition or integrity of a patient involves various subactivities that may not all be of the same type, such as inspecting, repairing, or cleaning, thus not all temporal parts of the event are instances of the same type.",The event is labeled 'durative' because the act of maintaining the condition or integrity of something is a process that unfolds over time and can be divided into distinct stages or phases.,"The event is labeled 'agentive' because it involves an agent intentionally acting with the specific goal of maintaining the condition or integrity of a patient, demonstrating clear purpose and goal-directed initiation."
Imprisonment,"Imprisoning is an event where an authority or agent restricts an individual's freedom by placing them in a confined space, typically as a result of a legal or punitive decision, thereby preventing their voluntary movement or access to the outside world .",anti-cumulative,anti-homeomeric,durative,agentive,"The event of imprisoning is labeled 'anti-cumulative' because imprisoning the same person multiple times does not create a larger instance of the same event type, each instance remains a distinct event.","The event of imprisoning is labeled 'anti-homeomeric' because it involves various distinct subactivities such as the legal decision, the act of confinement, and the ongoing state of being imprisoned, which are not all instances of the same type.","The event of imprisoning is labeled 'durative' because it is a process that unfolds over time, from the moment the individual is confined, through their period of incarceration, until their release, and it can be divided into distinct stages such as sentencing, incarceration, and potential parole.",The event is labeled 'agentive' because imprisoning is an intentional act carried out by an authority or agent with the specific goal of restricting an individual's freedom.
Process end,"An event where a Process or Activity reaches its conclusion, either by natural completion, deliberate cessation by an Agent, or external causation, resulting in the process no longer continuing.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because the conclusion of a process or activity is a distinct, singular occurrence that cannot be aggregated with other conclusions without changing the nature of the event.","The event is labeled 'anti-homeomeric' because it involves a process or activity reaching its conclusion, which is a distinct subactivity and not an instance of the same ongoing process or activity type.","The event is labeled 'durative' because it involves a process or activity that unfolds over time and reaches its conclusion, indicating that it has distinct phases or stages.","The event is labeled 'non-agentive' because it can reach its conclusion through natural completion or external causation, not solely through deliberate action by an agent."
Process start,"An event where either an Event or an ongoing Activity begins at a specific Time and Place, possibly involving an intentional Agent for activities.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of the event or activity can be combined into a larger occurrence that still maintains the same event type, such as multiple meetings being combined into a conference.","The event is labeled 'anti-homeomeric' because it involves an ongoing activity that may contain structurally distinct subactivities, which means not all of its temporal parts are instances of the same type.","The event is labeled 'durative' because it involves an ongoing activity that begins at a specific time and place, indicating that it unfolds over a period of time with potential for distinct phases or stages.",The event is labeled 'agentive' because it involves an intentional agent initiating an event or activity at a specific time and place with a clear goal or purpose.
Publishing,"An event where a Publisher makes a Work created by an Author accessible to a public Audience through some medium for broader consumption or use.
",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of a Publisher making a Work accessible to the public is a distinct event and cannot be aggregated into a larger whole that is still considered the same type of event.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the creation of the work by the author, the acquisition of the work by the publisher, and the distribution of the work to the public, which are not all instances of the same type.","The event is labeled 'durative' because it involves multiple stages such as the creation of the work by the author, the publisher making it accessible, and the audience consuming it, which unfold over a period of time.","The event is labeled 'agentive' because it involves the intentional action of a Publisher making a Work accessible to a public Audience, which is a goal-directed activity."
Quarreling,An event where two or more parties engage in expressing conflicting or incompatible opinions or beliefs about an issue.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because combining multiple instances of conflicting opinions or beliefs does not create a larger instance of the same event, but rather multiple distinct events of conflict.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the expression of different opinions or beliefs, which are not instances of the same type of event.","The event is labeled 'durative' because the process of expressing conflicting or incompatible opinions or beliefs involves a series of exchanges that unfold over time, with distinct phases such as initiation, escalation, and resolution.","The event is labeled 'agentive' because it involves intentional actions by the parties involved who are actively expressing their conflicting or incompatible opinions or beliefs, indicating a clear purpose or goal."
Ratification,"An event where a Ratifier formally approves a Proposal, making it officially valid or binding within their authority or constituency.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the act of ratifying a proposal is a distinct event and combining multiple instances of ratification does not result in another instance of the same type of event.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the presentation of the proposal and the formal approval by the Ratifier, which are not instances of the same type.","The event is labeled 'durative' because the process of a Ratifier formally approving a Proposal involves multiple stages, such as reviewing the proposal, making a decision, and then officially validating it, which unfolds over a period of time.","The event is labeled 'agentive' because it involves a Ratifier intentionally and purposefully approving a Proposal, which is a goal-directed action."
Protest,An agent presents support for a content or claim in order to persuade an addressee about a belief or course of action.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the mereological sum of multiple instances of presenting support for a claim does not create a larger instance of the same event, as each presentation is unique and distinct in its content and context.","The event is labeled 'anti-homeomeric' because the process of presenting support for a claim involves different subactivities such as gathering information, formulating arguments, and communicating the claim, which are not all instances of the same type of event.","The event is labeled 'durative' because the act of presenting support for a claim or content involves a process that unfolds over time, often involving multiple stages such as gathering evidence, constructing an argument, and delivering the argument.",The event is labeled 'agentive' because it involves an agent intentionally initiating an action with a specific goal of persuading an addressee about a belief or course of action.
Recording,An event where an Agent permanently captures information about a Phenomenon or an Entitys Attribute for future reference.,anti-cumulative,homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of capturing information is distinct and cannot be aggregated into a larger whole without losing the specific details and context of each individual capture.,"The event is labeled 'homeomeric' because every temporal part of the event, which involves capturing information about a Phenomenon or an Entity's Attribute for future reference, is consistently of the same type, reflecting uniformity across all temporal intervals.","The event is labeled 'durative' because the process of capturing information permanently involves multiple stages such as observing, processing, and storing the information, which extends over a period of time.",The event is labeled 'agentive' because it involves an intentional action initiated by an agent (capturing information) with a specific goal (for future reference).
Reforming a system,"An Agent or Cause initiates changes to the structure or organization of a complex Entity (such as a system or institution) in order to improve its functioning under changed circumstances, usually through gradual and partial modifications rather than complete replacement.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of gradual and partial modifications can be aggregated into a larger whole that still represents the overall improvement of the entity's functioning, preserving the identity of the event type.","The event is labeled 'anti-homeomeric' because it involves a series of distinct subactivities (initiating changes, modifying structure or organization, improving functioning) that are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process of initiating changes to a complex entity, which implies a progression over time with distinct stages, such as identifying the need for change, planning the modifications, implementing them, and assessing their impact.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally initiating changes to improve the functioning of a complex Entity, indicating a clear goal or purpose."
Recovering,"An event where an Agent or a Cause restores an Entity to a previous state of greater vitality, strength, or effectiveness.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because restoring an entity to a state of greater vitality, strength, or effectiveness is a unique, individual occurrence and combining multiple instances of this event does not create a larger instance of the same type.","The event is labeled 'anti-homeomeric' because the process of restoring an entity to a previous state of greater vitality, strength, or effectiveness involves different subactivities or stages, such as diagnosing the problem, planning the restoration, implementing the plan, and verifying the restoration, which are not all instances of the same type.","The event is labeled 'durative' because the process of restoring an entity to a previous state of greater vitality, strength, or effectiveness typically involves multiple stages and extends over a period of time.","The event is labeled 'agentive' because it involves an Agent or Cause intentionally initiating an action to restore an Entity to a previous state, indicating a clear purpose or goal."
Releasing,"An event where an Authority or Agent causes a confined or restricted Entity to regain freedom of movement, either lawfully or against the will of prior captors.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of freeing a confined or restricted entity cannot be aggregated into a larger whole that is still an instance of the same type, as each freeing event is distinct and specific to the entity involved.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initial act of the Authority or Agent, the process of freeing the confined Entity, and the final state of the Entity regaining freedom, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as planning the release, executing the release, and the actual moment of regaining freedom, which are not instantaneous but occur in a sequence.","The event is labeled 'agentive' because it involves an Authority or Agent intentionally initiating an action with a specific goal, which is to cause a confined or restricted Entity to regain freedom of movement."
Removing,"An event where an Agent causes an Entity (Theme) to move away from its original Location (Source), resulting in their separation.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of an agent causing an entity to move away from its original location cannot be combined into a larger whole that is still an instance of the same event type, as each instance involves a distinct movement from a unique source location.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent initiating the action, the entity moving, and the final separation, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, from the agent causing the entity to move, through the movement itself, to the final separation from the original location.","The event is labeled 'agentive' because it involves an Agent intentionally initiating the action of causing an Entity to move away from its original Location, indicating a clear goal or purpose."
